,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
1919,33.646423,0.361263,22.670444,23.560453,43.471027,20.800583,132.03246,91.79649,3000.4836,0.0,0.8721747,0.67607826,0.45165348,0.6887493,1.1140637,0.66241026,21.590689,16.877192,13.038262,9.375337,0.43841925,1.5101837,-1.3185804,-6.5875707,4.3166857,2.2438984,3.5539458,2.1988394,2.6479962,3.0300088,0.011501752,0.24461845,2.2822325,0.1946751,-3.2136075,-0.78015476,-8.233792,-0.401538,-0.28408888,-35.575897,1097.4978,0.16038725,972.8671,0.23062699,-191.59036,-0.19215627,2158.2212,0.088621505,624.8945,0.3228919,-190.90602,-0.19751458,3172.8784,0.06249256,751.48737,0.17722818,-190.7415,-0.20082861,0.022523697,286.70563,5.7352023,1.028561,0.08403522,0.2665958,-0.0061733434,-1.558093,1.2400206,1.0581508,2.4497478,2.5342731,-2.1423264,-4.759918,6.4213686,0.74850565,-8.358727,-0.4855929,1.047643,5.6562757,0.056756653,-0.001283156,0.39228025,4.013378,1.3605443,0.0275,0.008291562,0.548,0.6339527,-29.080807,fries
1920,28.384373,0.3039424,22.116522,26.931772,37.80006,15.683538,291.64893,142.48538,580.5029,526.7936,1.0877724,0.5014491,0.5947448,0.9613802,1.5660353,0.97129047,16.306204,10.98137,12.87074,10.2143755,0.6140221,0.78621507,2.6714964,3.148621,4.562307,1.7242047,2.102693,4.3017383,-6.4471188,-1.3218124,0.1306787,0.80409765,2.5526452,0.66253376,-3.4148462,-0.5328674,0.4660287,21.446169,10.783342,0.90862685,816.2333,0.375558,1075.6866,0.2515224,-178.21822,-0.3230257,1893.8551,0.16884473,804.74194,0.24032243,-175.01895,-0.34280452,2865.3218,0.1053073,741.2329,0.23930188,-175.04184,-0.34270945,-6.509335,-0.9652846,12.871086,0.531648,0.095782325,0.26106033,-0.015476694,-0.5919513,0.91403174,0.87676316,8.822219,0.76083714,3.0194263,3.4658716,2.3665783,2.3742707,-7.663466,-0.9721816,-1.5737823,8.077709,0.07500015,-0.0077722245,0.55610937,6.303725,2.6162791,0.04,0.027888667,0.289,0.31995153,-29.618908,fries
1921,36.75064,0.223307,30.132664,41.362274,41.522076,11.389412,604.593,289.41302,118.47746,69.05144,1.0257198,0.7850013,0.5324529,0.79113895,1.226149,0.6936961,22.013689,20.850718,19.79632,11.798822,0.6662112,1.5003062,3.7745256,1.472255,2.6760292,3.6478539,11.124996,0.6595991,-9.3937845,-0.76061,0.08071613,0.88658714,1.8718418,0.44113177,-1.844351,-1.3674114,-1.7787881,-4.3848395,-0.94652444,-10.081631,916.3635,0.34170714,803.6198,0.49596637,-178.71355,-0.30431536,1982.389,0.15319255,591.04565,0.5402285,-173.3464,-0.34408373,2984.8594,0.097068466,712.4667,0.22007,-172.90388,-0.35084143,-2.6248183,-2.448123,9.545498,0.6780237,0.095022276,0.19674665,-0.010037007,-0.8045669,1.1195604,0.96051425,4.655719,1.349139,-0.5839828,-18.253895,12.825794,0.42416593,-14.406915,-0.3530462,-1.6620823,7.1245327,0.07530936,-0.009738498,0.57984215,3.4383955,2.6239069,0.046666663,0.02,0.3122222,0.30378273,-27.75362,fries
1922,33.397533,0.36211428,15.903578,41.321766,41.540802,25.637224,85.54756,51.057648,212.34341,0.0,0.9395168,0.5688097,0.5702095,0.7927606,1.1810235,0.610814,22.177393,20.25537,15.196521,10.069414,0.5287203,1.3268818,2.9569383,1.9537075,-2.0588565,-4.5541396,10.808656,0.6548489,-4.436038,-1.8606526,0.04465978,0.3809068,2.477419,0.63574666,-2.9373689,-0.9580214,10.700061,2.879135,-1.888451,-6.4289174,924.5102,0.335622,868.0292,0.446262,-187.08725,-0.23300977,1956.6082,0.16267031,697.88464,0.18307602,-184.0646,-0.2598066,2966.3188,0.10100067,742.1444,0.20622471,-183.79695,-0.26423675,-2.078006,-3.4690027,8.79563,0.844305,0.08592007,0.24317771,-0.006843906,-1.2337006,1.170012,1.6251893,4.677183,1.6216669,-1.0939988,-11.3466425,13.481409,0.22002913,-5.9899797,-1.0644579,0.46046984,5.2199907,0.07076082,-0.005145616,0.474299,5.263158,2.030457,0.035,0.011180339,0.38777778,0.26288053,-31.51953,fries
1923,30.326492,0.5458048,13.815273,25.493723,42.002514,28.18724,465.7355,309.62497,293.76965,37.915497,0.97672415,0.73309153,0.44681463,0.71356297,1.4270991,0.98028445,19.331158,14.674728,19.655136,16.451715,0.5829225,1.4600662,1.3430629,5.870733,4.283374,1.9920522,0.7092216,16.073238,-2.3774486,-3.7968135,0.047376074,0.47128314,2.4309394,0.57403314,-3.6502986,-0.40226156,6.5076737,3.9828377,10.086605,1.3425605,713.04315,0.48866352,1002.7837,0.32572648,-185.16737,-0.2594673,1835.4441,0.22850503,740.43964,0.49181926,-184.16496,-0.25567645,2780.6707,0.16283707,750.0013,0.2559005,-182.54828,-0.2716824,-3.1459708,-2.7505212,10.141378,0.8486016,0.060777083,0.3549947,-0.0053837765,-2.260696,0.4996195,1.5799229,2.7822561,3.8225226,10.417028,0.80435604,4.497843,1.2393432,-2.6247916,-3.6509652,-0.18582776,6.813439,0.061440345,-0.0020950886,0.5995813,4.92228,2.3622048,0.031111112,0.00993808,0.33400002,0.3527662,-27.770555,fries
1924,36.179718,0.3108395,26.819147,41.28553,41.85122,15.032072,133.27448,24.041664,353.9862,60.15193,1.2014558,0.6790236,0.6046172,0.937316,1.6146168,1.0099995,22.592619,14.877407,20.33999,14.482383,0.79679686,1.2755109,2.5121787,2.4566576,-0.07784303,-120.30593,5.226837,1.992318,-2.3924105,-3.7876859,0.028575018,0.6634553,2.169879,0.5601615,-4.085344,-0.8074581,-0.66109616,-11.570268,-0.9826605,-11.496832,929.28796,0.36157876,923.57666,0.2800654,-185.51,-0.2449958,1942.6099,0.16828313,840.90674,0.25467283,-182.90631,-0.26603746,2892.6135,0.12155476,811.176,0.28211576,-182.70789,-0.26954553,-1.6016477,-4.3079777,9.509938,0.69565284,0.10234675,0.25462133,-0.006572484,-1.8141966,1.6602558,1.0789372,3.6709735,1.464598,-4.418256,-2.9681187,1.532473,7.559628,-7.083868,-1.2656379,-0.5572328,6.3944283,0.07840133,-0.005846045,0.71011865,5.410448,2.259887,0.0325,0.019632032,0.35923076,0.26131213,-26.326576,fries
1925,45.619827,0.281528,29.773186,49.904945,60.45777,30.684586,578.5897,376.59213,377.4948,165.18416,1.1870712,0.51800925,0.64055574,1.0512929,1.6824673,1.0419116,27.369064,19.357254,17.386263,9.930674,0.71718174,0.9428724,-4.5149307,-2.0543187,0.9200322,9.501512,-0.9014409,-12.545839,-1.4014963,-7.263469,0.05311781,0.36618948,3.5076993,0.31040585,-4.1489797,-0.67109877,1.3293598,10.411957,6.854077,1.6937562,738.04803,0.48517066,898.2485,0.3934368,-192.40767,-0.17907292,1694.6958,0.2273076,929.4815,0.2981495,-185.32516,-0.25369316,2704.1667,0.12078423,724.5398,0.6756667,-183.34663,-0.26725802,3.6188638,2.4891438,6.326976,1.2641445,0.08226698,0.31646144,-0.0018188554,-8.862453,1.124032,0.84225935,-4.3549266,-2.6331372,-1.6305529,-4.5776453,-6.4686284,-2.4726639,-5.1800847,-2.2590714,4.1086416,3.75775,0.0596003,0.0030758285,0.6821897,6.2388597,2.3381295,0.027692309,0.010490909,0.35214287,0.4680534,-26.822063,fries
1926,33.77796,0.47421294,19.55428,34.581165,41.68313,22.128849,526.95215,48.332703,157.00444,464.84442,1.2024527,0.6964535,0.5788498,0.96620655,1.5739913,0.9951415,17.930927,16.566267,19.41865,13.107128,0.72745055,1.3110955,1.3574578,5.633514,1.0321473,8.8758955,-1.2180399,-7.8465023,-6.2691536,-1.4690301,0.025057133,0.6848325,1.878772,0.58728284,-3.5492523,-0.81407183,-3.5475247,-1.9880806,0.37465206,15.476101,991.4294,0.29371658,924.7634,0.24400073,-191.19133,-0.19078504,2024.1924,0.16107933,730.32446,0.25361818,-187.8886,-0.22245035,2978.3167,0.09991415,718.2824,0.26256755,-186.86049,-0.23126037,-0.95943826,-6.912875,8.848336,0.78591245,0.06781641,0.3467203,-0.0039835353,-3.108468,0.63495636,1.3975034,2.7658055,3.0998545,-2.458557,-3.7770555,1.9996252,4.838168,-8.536049,-0.8148371,-0.5149658,7.750231,0.07539638,-0.0041810963,0.74101275,4.584527,2.0348837,0.025714286,0.0049487166,0.38875,0.53901386,-26.156275,fries
1927,20.36502,0.49377215,14.582268,14.854067,23.072495,8.490227,498.3466,0.0,25.64334,35.371292,0.9804256,0.7145542,0.48632327,0.78099746,1.2864199,0.80009663,21.328571,22.978891,10.018066,8.145461,0.54329216,1.2604833,2.1514902,4.9705944,0.80200607,10.816547,4.4615955,2.20645,-0.14017949,-56.559002,0.14223686,0.26797625,2.8765972,0.20558916,-3.6427553,-0.4227582,2.2566469,3.0486326,10.70658,0.64346695,778.3782,0.48447752,1111.1698,0.21814626,-185.06508,-0.25812203,1752.1658,0.19973224,910.1653,0.20180707,-185.62877,-0.24738458,2785.9744,0.11136252,723.8566,0.26192847,-185.71213,-0.24608505,-10.691539,-0.3802822,17.596514,0.27898014,0.07090581,0.24013701,-0.011217709,-0.37486383,0.2933796,0.6123282,16.957375,0.27126646,5.9949703,1.1011728,10.39906,0.5703015,-1.1494837,-3.3496232,1.4060904,6.1343966,0.060256332,0.0020567977,0.5732352,3.3444817,1.7006804,0.038,0.031240996,0.52599996,0.5336141,-26.999384,fries
1928,29.924818,0.5063993,19.751402,20.022293,41.538998,21.787596,-12.518718,0.0,208.87173,0.0,1.2304068,0.5728912,0.63674307,1.0471358,1.7479312,1.1111882,21.87528,15.1077585,20.581625,16.244888,0.7502353,0.9347802,0.81651956,12.178677,0.020811547,459.67545,3.2563977,3.3403773,-5.288371,-1.8437244,0.039135803,0.45445007,1.824921,0.69621724,-3.5179222,-0.46192154,-4.387991,-1.9293271,5.158222,2.8370428,1019.6388,0.22863618,860.7764,0.2982171,-187.40048,-0.24075381,2156.8198,0.11075811,677.615,0.22830643,-184.28694,-0.2685506,3073.962,0.076086275,759.9138,0.26605883,-184.06015,-0.27287135,-2.2912464,-4.1566153,8.690959,1.3218331,0.078988194,0.424211,-0.005556946,-1.474799,0.7401344,1.3025651,4.3195395,2.5829594,3.759143,3.1054964,6.023034,1.1868552,-7.2910037,-1.7095424,1.8677641,5.4939046,0.07164852,0.000107164924,0.7640568,6.4171124,1.6393443,0.043333333,0.029249882,0.46714285,0.38473418,-27.362947,fries
